long,lat,order,hole,piece,group,id,country,forest_chg
-11.4387794662,6.78591685631,1,False,1,Sierra Leone.1,Sierra Leone,Sierra Leone,-4312.0
-64.7302552965,32.293455512,1,False,1,Bermuda.1,Bermuda,Bermuda,0.0
-77.8815714179,7.22377126711,1,False,1,Panama.1,Panama,Panama,-5646.0
23.4841276384,53.912497667,1,False,1,Belarus.1,Belarus,Belarus,9276.0
-62.8464684719,-22.0349854469,1,False,1,Bolivia.1,Bolivia,Bolivia,-62142.0
50.6072782733,25.8831232773,1,False,1,Bahrain.1,Bahrain,Bahrain,4.0
1.0601216976,5.92883738853,1,False,1,Ghana.1,Ghana,Ghana,-27388.0
-9.03481767418,41.8805705837,1,False,1,Spain.1,Spain,Spain,47069.0
-59.5218652004,13.0622004257,2,False,1,Barbados.1,Barbados,Barbados,0.0
34.0048808123,34.978097846,2,False,1,Cyprus.1,Cyprus,Cyprus,122.0
50.7439107603,25.4824242213,2,False,1,Qatar.1,Qatar,Qatar,0.0
-76.8966186185,18.4008668075,2,False,1,Jamaica.1,Jamaica,Jamaica,-83.0
101.687157831,12.6457400578,2,False,1,Thailand.1,Thailand,Thailand,-5474.0
14.5326843604,35.8201911484,2,False,1,Malta.1,Malta,Malta,0.0
9.63293175623,47.3476012233,2,False,1,Switzerland.1,Switzerland,Switzerland,982.0
145.749171177,15.1072435572,2,False,1,Northern Mariana Islands.1,Northern Mariana Islands,Northern Mariana Islands,-40.0
31.29341841,70.4537877469,2,False,1,Norway.1,Norway,Norway,10878.0
178.71806,-17.62846,2,False,1,Fiji.1,Fiji,Fiji,679.0
41.7031706073,41.9629428167,2,False,1,Georgia.1,Georgia,Georgia,-418.0
-78.2149360827,7.51225495038,2,False,1,Panama.1,Panama,Panama,-5646.0
30.6598653501,-22.1515674781,2,False,1,Zimbabwe.1,Zimbabwe,Zimbabwe,-71940.0
41.58513,-1.68325,2,False,1,Kenya.1,Kenya,Kenya,-2630.0
171.226995884,7.08695791262,2,False,1,Marshall Islands.1,Marshall Islands,Marshall Islands,-4.0
6.90513960127,53.4821621771,2,False,1,Netherlands.1,Netherlands,Netherlands,200.0
-81.4044571601,23.1172714299,2,False,1,Cuba.1,Cuba,Cuba,8812.0
121.937601353,18.2185523544,2,False,1,Philippines.1,Philippines,Philippines,12046.0
-97.528072476,24.9921440699,2,False,1,Mexico.1,Mexico,Mexico,-57994.0
-0.507637905266,5.34347260174,2,False,1,Ghana.1,Ghana,Ghana,-27388.0
129.397817824,49.440600084,2,False,1,China.1,China,China,552467.0
70.6480188333,39.9357538926,2,False,1,Tajikistan.1,Tajikistan,Tajikistan,20.0
73.3952930032,3.2294155949,2,False,1,Maldives.1,Maldives,Maldives,0.0
46.0763403664,35.6773833278,2,False,1,Iraq.1,Iraq,Iraq,210.0
15.6018180681,-27.821247247,2,False,1,Namibia.1,Namibia,Namibia,-16204.0
66.5461503437,37.9746849635,2,False,1,Uzbekistan.1,Uzbekistan,Uzbekistan,2227.0
-63.9868381415,-21.993644301,2,False,1,Bolivia.1,Bolivia,Bolivia,-62142.0
16.4992826677,48.7858080104,2,False,1,Czech Republic.1,Czech Republic,Czech Republic,320.0
31.8680603371,-27.1779273414,2,False,1,Swaziland.1,Swaziland,Swaziland,998.0
173.247234329,-41.3319987933,2,False,1,New Zealand.1,New Zealand,New Zealand,5322.0
44.9724800962,41.2481285671,2,False,1,Armenia.1,Armenia,Armenia,-934.0
-69.8584435696,-18.0926937802,2,False,1,Peru.1,Peru,Peru,-24640.0
19.36803,44.863,2,False,1,Bosnia and Herzegovina.1,Bosnia and Herzegovina,Bosnia and Herzegovina,-250.0
103.090689732,11.15366059,2,False,1,Cambodia.1,Cambodia,Cambodia,-31048.0
43.3178524107,12.3901484237,2,False,1,Djibouti.1,Djibouti,Djibouti,0.0
-14.739637417,65.8087482774,2,False,1,Iceland.1,Iceland,Iceland,230.0
28.4459436378,68.3646129422,2,False,1,Finland.1,Finland,Finland,2680.0
34.2800061378,-12.2800253231,2,False,1,Malawi.1,Malawi,Malawi,-7250.0
14.5957812842,13.3304269475,2,False,1,Chad.1,Chad,Chad,-17434.0
167.270028111,-15.7400208472,2,False,1,Vanuatu.1,Vanuatu,Vanuatu,0.0
143.922099237,-14.5483106422,2,False,1,Australia.1,Australia,Australia,-70480.0
106.715067987,20.6968506943,2,False,1,Vietnam.1,Vietnam,Vietnam,47220.0
26.8578235206,48.3682107611,2,False,1,Moldova.1,Moldova,Moldova,762.0
30.8161348813,-1.69891407635,2,False,1,Rwanda.1,Rwanda,Rwanda,1370.0
134.5346619,7.36063629804,2,False,1,Palau.1,Palau,Palau,23.0
31.3255611509,-29.4019776344,2,False,1,South Africa.1,South Africa,South Africa,0.0
10.0661352881,-2.96948251711,2,False,1,Gabon.1,Gabon,Gabon,0.0
9.93957970545,54.5966419542,2,False,1,Germany.1,Germany,Germany,3350.0
88.0431327657,27.4458185898,2,False,1,Nepal.1,Nepal,Nepal,-11810.0
117.882034947,4.13755137778,2,False,1,Malaysia.1,Malaysia,Malaysia,-20936.0
1.0601216976,5.92883738853,2,False,1,Togo.1,Togo,Togo,-4178.0
57.5247888528,-20.5132178687,2,False,1,Mauritius.1,Mauritius,Mauritius,-38.0
-67.8281798977,-22.8729187965,2,False,1,Chile.1,Chile,Chile,10432.0
49.8089807473,-12.895284926,2,False,1,Madagascar.1,Madagascar,Madagascar,-12530.0
24.450683628,53.9057022162,2,False,1,Belarus.1,Belarus,Belarus,9276.0
22.9448323911,43.8237853053,2,False,1,Bulgaria.1,Bulgaria,Bulgaria,7104.0
23.1422363624,48.0963410508,2,False,1,Romania.1,Romania,Romania,2748.0
33.2313879738,-9.67672169356,2,False,1,Zambia.1,Zambia,Zambia,-36652.0
7.37772057458,43.7317495794,2,False,1,Monaco.1,Monaco,Monaco,0.0
-64.8201464504,32.2596332871,2,False,1,Bermuda.1,Bermuda,Bermuda,0.0
-12.8306583317,15.3036915145,2,False,1,Mauritania.1,Mauritania,Mauritania,-1830.0
-61.105,10.89,2,False,1,Trinidad and Tobago.1,Trinidad and Tobago,Trinidad and Tobago,-157.0
35.3123979022,-11.4391464169,2,False,1,Mozambique.1,Mozambique,Mozambique,-47788.0
-170.769260831,-14.3597950172,2,False,1,American Samoa.1,American Samoa,American Samoa,-8.0
98.9596757345,19.7529806584,2,False,1,Myanmar.1,Myanmar,Myanmar,-80642.0
9.05560265467,32.1026919622,2,False,1,Tunisia.1,Tunisia,Tunisia,3958.0
-61.7481634182,16.997154039,2,False,1,Antigua and Barbuda.1,Antigua and Barbuda,Antigua and Barbuda,-5.0
19.7380513852,42.6882473822,2,False,1,Montenegro.1,Montenegro,Montenegro,0.0
7.46210818852,4.41210826255,2,False,1,Nigeria.1,Nigeria,Nigeria,-90122.0
47.8156657245,41.151416124,2,False,1,Azerbaijan.1,Azerbaijan,Azerbaijan,0.0
14.6070984229,51.7451880967,2,False,1,Poland.1,Poland,Poland,5108.0
166.59999149,-21.7000188128,2,False,1,New Caledonia.1,New Caledonia,New Caledonia,0.0
-75.8014658271,0.0848013370732,2,False,1,Colombia.1,Colombia,Colombia,-22220.0
-4.07382849773,57.5530248074,2,False,1,United Kingdom.1,United Kingdom,United Kingdom,2844.0
12.9513338559,2.32161570883,2,False,1,Cameroon.1,Cameroon,Cameroon,-48400.0
-81.33725196,19.329518134,2,False,1,Cayman Islands.1,Cayman Islands,Cayman Islands,3.0
-3.51189897299,9.90032623946,2,False,1,Burkina Faso.1,Burkina Faso,Burkina Faso,-13180.0
16.1062317237,7.49708791751,2,False,1,Central African Republic.1,Central African Republic,Central African Republic,-6580.0
-6.03298539878,53.1531641709,2,False,1,Ireland.1,Ireland,Ireland,2916.0
30.76986,-1.01455,2,False,1,Uganda.1,Uganda,Uganda,-19394.0
38.3476648293,40.9485861273,2,False,1,Turkey.1,Turkey,Turkey,18916.0
-56.9760257636,-30.1096863746,2,False,1,Uruguay.1,Uruguay,Uruguay,9136.0
88.8055668477,49.4705207383,2,False,1,Mongolia.1,Mongolia,Mongolia,-18020.0
-90.6086240303,13.9097714299,2,False,1,Guatemala.1,Guatemala,Guatemala,-12034.0
29.2763839047,-3.29390715903,2,False,1,Burundi.1,Burundi,Burundi,-1206.0
2.17710778159,12.6250178085,2,False,1,Niger.1,Niger,Niger,-7658.0
4.04707116051,51.2672586127,2,False,1,Belgium.1,Belgium,Belgium,29.0
148.084635858,-8.04410816817,2,False,1,Papua New Guinea.1,Papua New Guinea,Papua New Guinea,-30814.0
1.86524051271,6.14215770103,2,False,1,Benin.1,Benin,Benin,-13000.0
35.7199182472,32.7091924098,2,False,1,Jordan.1,Jordan,Jordan,0.0
13.8064754574,46.5093061387,2,False,1,Italy.1,Italy,Italy,17150.0
-59.1016841295,7.99920197187,2,False,1,Guyana.1,Guyana,Guyana,0.0
-65.7713028632,18.4266791855,2,False,1,Puerto Rico.1,Puerto Rico,Puerto Rico,2826.0
16.9037541033,47.7148656276,2,False,1,Austria.1,Austria,Austria,1210.0
9.5022937354,47.0627348903,2,False,1,Liechtenstein.1,Liechtenstein,Liechtenstein,4.0
-7.97410722496,4.35575511313,2,False,1,Liberia.1,Liberia,Liberia,-6600.0
-69.8956764391,12.4230146346,2,False,1,Aruba.1,Aruba,Aruba,0.0
-62.2911793687,-21.0516346168,2,False,1,Paraguay.1,Paraguay,Paraguay,-39322.0
92.1037117859,27.4526140406,2,False,1,Bhutan.1,Bhutan,Bhutan,2356.0
-43.40644,83.22516,2,False,1,Greenland.1,Greenland,Greenland,0.0
-83.5084372627,8.44692658125,2,False,1,Costa Rica.1,Costa Rica,Costa Rica,866.0
1.67848188641,42.4966570094,2,False,1,Andorra.1,Andorra,Andorra,0.0
35.5527966652,33.2642748073,2,False,1,Lebanon.1,Lebanon,Lebanon,61.0
92.6522571146,21.324047553,2,False,1,Bangladesh.1,Bangladesh,Bangladesh,-572.0
25.8503914731,-18.7144129371,2,False,1,Botswana.1,Botswana,Botswana,-26038.0
61.1230705097,36.491597195,2,False,1,Turkmenistan.1,Turkmenistan,Turkmenistan,0.0
-157.175775316,1.73984243409,2,False,1,Kiribati.1,Kiribati,Kiribati,0.0
-86.0584883288,11.4034386255,2,False,1,Nicaragua.1,Nicaragua,Nicaragua,-15400.0
-90.55151,68.47499,2,False,1,Canada.1,Canada,Canada,0.0
4.28602298343,49.9074966498,2,False,1,France.1,France,France,15130.0
-11.8342075261,14.7990969914,2,False,1,Mali.1,Mali,Mali,-17400.0
-4.61428646485,54.0587161322,2,False,1,Isle of Man.1,Isle of Man,Isle of Man,0.0
43.4467851092,-11.914569594,2,False,1,Comoros.1,Comoros,Comoros,-98.0
144.699519485,13.2575373397,2,False,1,Guam.1,Guam,Guam,0.0
58.4879858743,20.4289859075,2,False,1,Oman.1,Oman,Oman,0.0
50.5749288267,25.8067971868,2,False,1,Bahrain.1,Bahrain,Bahrain,4.0
-8.67194576663,42.1346894395,2,False,1,Portugal.1,Portugal,Portugal,1366.0
-56.2908996242,-28.852760512,2,False,1,Brazil.1,Brazil,Brazil,-597058.0
32.1594120623,52.0612669948,2,False,1,Ukraine.1,Ukraine,Ukraine,4830.0
-8.72212358238,7.7116743026,2,False,1,Guinea.1,Guinea,Guinea,-7920.0
-87.4894087389,13.2975348983,2,False,1,Honduras.1,Honduras,Honduras,-31840.0
75.8968974141,36.6668061387,2,False,1,Pakistan.1,Pakistan,Pakistan,-9260.0
78.9122689147,34.321936347,2,False,1,India.1,India,India,47850.0
-89.15090939,17.9554676376,2,False,1,Belize.1,Belize,Belize,-2122.0
48.1831885109,29.5344766302,2,False,1,Kuwait.1,Kuwait,Kuwait,30.0
-61.3753696357,15.2272879094,2,False,1,Dominica.1,Dominica,Dominica,-59.0
-61.7821923489,12.0084404566,2,False,1,Grenada.1,Grenada,Grenada,0.0
-55.9493184068,5.77287791587,2,False,1,Suriname.1,Suriname,Suriname,-252.0
159.917401972,-8.53828989017,2,False,1,Solomon Islands.1,Solomon Islands,Solomon Islands,-1222.0
-87.9041121081,13.1490168319,2,False,1,El Salvador.1,El Salvador,El Salvador,-988.0
-8.9844331527,42.5927751735,2,False,1,Spain.1,Spain,Spain,47069.0
103.819947544,1.26540110921,2,False,1,Singapore.1,Singapore,Singapore,0.0
14.6324715512,46.4318173285,2,False,1,Slovenia.1,Slovenia,Slovenia,690.0
-71.5873044501,19.8849105901,2,False,1,Dominican Republic.1,Dominican Republic,Dominican Republic,0.0
10.6678039893,56.0813833685,2,False,1,Denmark.1,Denmark,Denmark,1030.0
179.191366822,-8.5421131385,2,False,1,Tuvalu.1,Tuvalu,Tuvalu,0.0
-172.221549446,-13.5595337867,2,False,1,Samoa.1,Samoa,Samoa,410.0
-64.3770210435,-22.7980913225,2,False,1,Argentina.1,Argentina,Argentina,-58726.0
-72.5796728177,19.8715005559,2,False,1,Haiti.1,Haiti,Haiti,-166.0
