Series Name,Series Code,Country Name,Country Code,2015 [2015],2016 [2016],2017 [2017]
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bulgaria,BGR,1.1,2,2.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Burkina Faso,BFA,4.95248231339,6.20124054737,6.50242066157
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Burundi,BDI,4.8,5,5.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cambodia,KHM,6.9318267653,6.92716884575,6.82462626767
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cameroon,CMR,4.0489841126,4.57920637845,4.9924095924
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cape Verde,CPV,3.04095886333,3.36532709649,3.45775431663
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Chad,TCD,9,4.7,5.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Chile,CHL,2.9166590132,3.33872001813,3.49314129066
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,China,CHN,7.12093385258,7.03728595882,6.88741261861
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,CIS Total,CIS,-0.35983828793,2.9984404693,4.03324858191
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Colombia,COL,3.47451491473,3.86157053794,4.1670910433
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Comoros,COM,3.38591790096,3.67529319342,3.76997090251
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Congo, Dem. Rep.",ZAR,7.96971031492,8.48802013477,9.00468476771
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Congo, Rep.",COG,4.29154464076,4.96423589612,6.99237017982
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Costa Rica,CRI,3.3742511212,4.15831553357,4.39045191929
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cote d'Ivoire,CIV,8,7.7,7.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Croatia,HRV,0.5,1.2,1.47307
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cuba,CUB,2.06463583017,2.06463583017,0
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Czech Republic,CZE,2.4,2.5,2.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Developing Countries,DEV,4.43899812505,5.1558172659,5.38240027529
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Djibouti,DJI,6.5,7,7.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Dominica,DMA,1.25538,1.50481,1.60075
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Dominican Republic,DOM,5.2349766891,4.76902350018,3.36792134617
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,East Asia & Pacific,EAP,6.67544710269,6.70190350741,6.58875782121
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,East Asia excl. China P.R.,EAO,4.94748206036,5.3742370124,5.38759546707
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,ECA Transition countries,ESU,0.83223769315,2.88292947915,3.59047651862
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,ECA: Central and Eastern Europe,CEE,2.33050186291,2.74156819692,3.04726141181
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Ecuador,ECU,1.9078998229,2.97832203744,4.21335192402
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Egypt, Arab Rep.",EGY,4.2,4.48049,4.84054
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,El Salvador,SLV,2.16043795404,2.48046244829,2.55451318954
